graph_size (n),density,edge_count,algorithm,trial,max_flow_result,solve_time,setup_time,total_time
20,0.3,114,cplex,5,46.0,0.0007409999998344574,0.008931999998821993,0.00967299999865645
20,0.3,114,ford-fulkerson,5,46,0.00021720000040659215,4.740000076708384e-05,0.000264600001173676
20,0.3,114,Edmonds-Karp,5,46,5.6999999287654646e-05,4.220000118948519e-05,9.920000047713984e-05
20,0.5,190,cplex,1,99.0,0.0008823000007396331,0.010291399999914574,0.011173700000654208
20,0.5,190,ford-fulkerson,1,99,0.0006639000002905959,7.230000119307078e-05,0.0007362000014836667
20,0.5,190,Edmonds-Karp,1,99,0.0001754000004439149,6.430000030377414e-05,0.00023970000074768905
20,0.5,190,cplex,2,87.0,0.0008683999985805713,0.010430899999846588,0.01129929999842716
20,0.5,190,ford-fulkerson,2,87,0.0005541999998968095,7.689999983995222e-05,0.0006310999997367617
20,0.5,190,Edmonds-Karp,2,87,0.0002361999995628139,6.600000051548705e-05,0.00030220000007830095
20,0.5,190,cplex,3,66.0,0.0008641999993415084,0.010267700001350022,0.01113190000069153
20,0.5,190,ford-fulkerson,3,66,0.0005405000010796357,7.100000038917642e-05,0.0006115000014688121
20,0.5,190,Edmonds-Karp,3,66,0.00015609999900334515,6.310000026132911e-05,0.00021919999926467426
20,0.5,190,cplex,4,154.0,0.0008659999984956812,0.010161500000322121,0.011027499998817802
20,0.5,190,ford-fulkerson,4,154,0.0011501999997562962,7.689999983995222e-05,0.0012270999995962484
20,0.5,190,Edmonds-Karp,4,154,0.00025240000104531646,8.08000004326459e-05,0.00033320000147796236
20,0.5,190,cplex,5,121.0,0.0008932000000640983,0.011904699998922297,0.012797899998986395
20,0.5,190,ford-fulkerson,5,121,0.0011557000016182428,0.00010859999929380137,0.0012643000009120442
20,0.5,190,Edmonds-Karp,5,121,0.00025490000007266644,6.310000026132911e-05,0.00031800000033399556
20,0.7,266,cplex,1,162.0,0.0010022000005847076,0.01623239999935322,0.017234599999937927
20,0.7,266,ford-fulkerson,1,162,0.0013865999990230193,9.259999933419749e-05,0.0014791999983572168
20,0.7,266,Edmonds-Karp,1,162,0.0004547000007733004,9.210000098391902e-05,0.0005468000017572194
20,0.7,266,cplex,2,85.0,0.000992999999652966,0.011593699999139062,0.012586699998792028
20,0.7,266,ford-fulkerson,2,85,0.0005478999992192257,9.099999988393392e-05,0.0006388999991031596
20,0.7,266,Edmonds-Karp,2,85,0.00012910000077681616,0.00010469999870110769,0.00023379999947792385
20,0.7,266,cplex,3,160.0,0.0010008999997808132,0.011507400000482448,0.012508300000263262
20,0.7,266,ford-fulkerson,3,160,0.001479799999287934,9.529999988444615e-05,0.0015750999991723802
